coion,water,count,shell
0,7,0.3938401539961501,0-7
0,8,0.328316792080198,0-8
0,6,0.12263443413914653,0-6
0,9,0.0972163195920102,0-9
0,10,0.015943351416214595,0-10
1,7,0.009412264693382666,1-7
0,5,0.009218519537011576,0-5
1,8,0.00889977750556236,1-8
1,6,0.005437364065898353,1-6
1,9,0.004312392190195245,1-9
1,5,0.001399965000874978,1-5
0,11,0.001349966250843729,0-11
1,10,0.001312467188320292,1-10
0,4,0.00022499437514062148,0-4
1,11,0.00017499562510937225,1-11
1,4,0.00015624609384765382,1-4
0,12,0.00010624734381640459,0-12
1,12,3.124921876953076e-05,1-12
0,13,1.2499687507812304e-05,0-13
